uid,month,loan_sum
4,2016-11,4.723016822
5,2016-11,6.584074882
6,2016-11,6.266691431
17,2016-11,5.657311097
19,2016-11,5.885770109
23,2016-11,3.862594545
39,2016-11,5.464626106
43,2016-11,5.292153929
45,2016-11,6.292054527
56,2016-11,6.722718659
57,2016-11,5.722768363
60,2016-11,5.292153929
61,2016-11,4.974842946
64,2016-11,3.862594545
68,2016-11,5.781982259
70,2016-11,6.153413856
71,2016-11,4.292650699
72,2016-11,4.885961244
73,2016-11,5.351362178
79,2016-11,3.862594545
80,2016-11,5.292153929
81,2016-11,5.657311097
87,2016-11,5.931812567
89,2016-11,5.240356826
92,2016-11,4.974842946
100,2016-11,6.292054527
104,2016-11,5.153538105
109,2016-11,5.501180385
115,2016-11,6.316422771
116,2016-11,6.74708738
117,2016-11,5.722768363
121,2016-11,6.735022479
126,2016-11,6.328257629
133,2016-11,6.949280367
138,2016-11,6.153413856
139,2016-11,6.316422771
142,2016-11,6.584074882
150,2016-11,6.405333138
159,2016-11,6.362466936
170,2016-11,5.292153929
172,2016-11,4.974842946
177,2016-11,5.931812567
181,2016-11,4.723016822
182,2016-11,5.45514134
183,2016-11,5.153538105
188,2016-11,5.153538105
191,2016-11,6.316422771
193,2016-11,4.544373396
201,2016-11,6.292054527
202,2016-11,6.104976146
203,2016-11,4.723016822
215,2016-11,5.153538105
216,2016-11,5.781982259
235,2016-11,5.405415974
236,2016-11,5.722768363
239,2016-11,6.629009151
241,2016-11,5.292153929
258,2016-11,7.014743673
259,2016-11,4.723016822
261,2016-11,5.722768363
266,2016-11,5.722768363
276,2016-11,6.153413856
283,2016-11,5.153538105
287,2016-11,5.292153929
295,2016-11,6.266691431
298,2016-11,5.153538105
315,2016-11,4.723016822
316,2016-11,4.723016822
321,2016-11,4.292650699
325,2016-11,6.153413856
334,2016-11,6.74708738
339,2016-11,6.83599934
343,2016-11,5.722768363
348,2016-11,4.723016822
354,2016-11,6.584074882
358,2016-11,4.974842946
361,2016-11,5.153538105
367,2016-11,4.292650699
368,2016-11,4.8616016
385,2016-11,4.83624782
387,2016-11,4.723016822
389,2016-11,6.684274102
393,2016-11,5.226703564
394,2016-11,6.292054527
400,2016-11,5.885770109
404,2016-11,6.643293014
406,2016-11,5.58413701
419,2016-11,6.014774739
420,2016-11,5.034043668
421,2016-11,3.975670565
425,2016-11,5.722768363
436,2016-11,5.909217723
439,2016-11,5.51868147
440,2016-11,3.862594545
444,2016-11,4.544373396
451,2016-11,4.723016822
458,2016-11,4.154158974
460,2016-11,5.936234584
463,2016-11,5.292153929
470,2016-11,5.931812567
473,2016-11,4.691162849
478,2016-11,6.183727411
483,2016-11,5.722768363
485,2016-11,5.722768363
490,2016-11,5.722768363
504,2016-11,6.606948128
505,2016-11,6.153413856
506,2016-11,5.292153929
517,2016-11,5.58413701
539,2016-11,5.885770109
547,2016-11,4.292650699
555,2016-11,6.087953139
568,2016-11,6.014774739
569,2016-11,6.781937074
573,2016-11,6.153413856
578,2016-11,3.862594545
582,2016-11,4.723016822
583,2016-11,6.405333138
586,2016-11,4.974842946
587,2016-11,5.351362178
594,2016-11,5.198462624
596,2016-11,5.153538105
598,2016-11,6.05244065
606,2016-11,4.723016822
611,2016-11,5.292153929
613,2016-11,5.747135172
616,2016-11,5.722768363
618,2016-11,5.722768363
