uid,age,sex,active_date,limit
26308,30,01,2016-02-16,5.9746772897
78209,40,01,2016-02-21,5.2921539288
51930,35,01,2016-04-19,6.2920545271
10113,25,01,2016-03-12,6.2920545271
17067,35,01,2016-02-16,5.9746772897
46744,35,01,2015-12-17,5.9746772897
31747,30,02,2016-02-13,6.2920545271
48366,30,02,2016-01-28,5.9746772897
49725,35,01,2016-01-28,5.2921539288
31333,35,01,2016-05-17,6.2920545271
87746,30,01,2016-05-06,5.9746772897
51229,35,01,2016-05-25,5.7227683627
18211,35,02,2016-03-10,5.2921539288
21994,30,01,2016-01-06,5.7227683627
61139,35,01,2016-04-26,6.2920545271
2967,25,01,2016-01-18,6.2920545271
47349,40,01,2016-01-28,6.2920545271
44467,35,02,2016-03-24,5.2921539288
20195,25,01,2016-06-21,5.7227683627
3113,30,02,2015-12-24,5.9746772897
72060,25,01,2016-05-03,6.1534138563
9329,40,01,2016-03-25,5.2921539288
73019,25,02,2016-06-17,6.2920545271
56754,30,01,2016-06-17,6.2920545271
57116,40,02,2016-04-06,6.2920545271
42194,30,01,2016-05-07,6.2920545271
90012,25,01,2016-02-13,5.9746772897
55859,30,01,2016-06-28,6.2920545271
27555,30,01,2016-05-26,6.2920545271
24650,30,01,2016-04-24,6.2920545271
45006,45,01,2016-04-15,5.9746772897
73677,30,02,2015-12-30,5.9746772897
51982,30,01,2016-05-20,5.2921539288
57983,25,01,2016-05-22,5.2921539288
76294,25,01,2016-03-16,5.7227683627
69813,25,01,2016-03-26,5.7227683627
88516,30,01,2015-12-30,5.9746772897
85791,35,01,2016-05-12,5.2921539288
45045,35,02,2016-02-19,5.7227683627
56129,30,01,2016-04-21,5.9746772897
33117,25,01,2016-05-06,6.2920545271
28440,30,01,2016-05-21,6.2920545271
58670,30,01,2016-04-24,6.2920545271
88719,35,01,2016-03-10,5.7227683627
61037,25,01,2016-04-15,6.2920545271
68554,30,02,2016-06-03,6.1534138563
15262,35,01,2016-03-10,6.1534138563
33795,30,02,2016-05-06,6.2920545271
76391,30,01,2015-12-17,5.9746772897
42049,30,01,2015-12-16,5.7227683627
30824,35,01,2016-01-28,6.1534138563
21346,30,01,2016-01-04,5.9746772897
84626,30,01,2016-01-27,5.9746772897
23424,30,01,2016-05-26,6.2920545271
83304,30,01,2016-03-13,5.2921539288
40257,30,01,2016-02-08,6.2920545271
88791,30,01,2016-06-07,6.2920545271
16328,35,01,2015-12-19,6.2920545271
